name,subject_id,in_v1,in_v2,failure_reason
behavior_789908_2025-09-23_20-11-30,789908,True,False,instrument upgrade error
behavior_789908_2025-09-24_22-04-27,789908,True,False,instrument upgrade error
behavior_789908_2025-09-25_22-12-33,789908,True,False,instrument upgrade error
behavior_789908_2025-09-26_20-44-33,789908,True,False,instrument upgrade error
behavior_789908_2025-09-29_21-00-05,789908,True,False,instrument upgrade error
behavior_789908_2025-09-30_21-13-10,789908,True,False,instrument upgrade error
behavior_789908_2025-10-01_20-39-42,789908,True,False,instrument upgrade error
behavior_789908_2025-10-02_22-03-18,789908,True,False,instrument upgrade error
behavior_789908_2025-10-03_20-37-40,789908,True,False,instrument upgrade error
behavior_789908_2025-10-07_20-54-01,789908,True,False,instrument upgrade error
behavior_789908_2025-10-08_20-46-00,789908,True,False,instrument upgrade error
behavior_789908_2025-10-09_21-57-41,789908,True,False,instrument upgrade error
behavior_789908_2025-10-10_20-43-14,789908,True,False,instrument upgrade error
behavior_789908_2025-10-13_17-10-27,789908,True,False,instrument upgrade error
behavior_789908_2025-10-14_17-49-09,789908,True,False,instrument upgrade error
behavior_789908_2025-10-15_17-20-44,789908,True,False,instrument upgrade error
behavior_789908_2025-10-16_17-35-14,789908,True,False,instrument upgrade error
behavior_789908_2025-10-17_16-59-37,789908,True,False,instrument upgrade error
behavior_789910_2025-10-07_20-54-12,789910,True,False,instrument upgrade error
behavior_789910_2025-10-08_20-45-51,789910,True,False,instrument upgrade error
behavior_789910_2025-10-09_21-57-54,789910,True,False,instrument upgrade error
behavior_789910_2025-10-10_20-43-57,789910,True,False,instrument upgrade error
behavior_789910_2025-10-13_17-10-48,789910,True,False,instrument upgrade error
behavior_789910_2025-10-14_17-49-02,789910,True,False,instrument upgrade error
behavior_789910_2025-10-15_17-20-33,789910,True,False,instrument upgrade error
behavior_789910_2025-10-16_17-35-04,789910,True,False,instrument upgrade error
behavior_789910_2025-10-17_16-59-27,789910,True,False,instrument upgrade error
behavior_789913_2025-09-26_20-44-42,789913,True,False,instrument upgrade error
behavior_789913_2025-09-29_21-00-19,789913,True,False,instrument upgrade error
behavior_789913_2025-09-30_21-13-20,789913,True,False,instrument upgrade error
behavior_789913_2025-10-01_20-39-53,789913,True,False,instrument upgrade error
behavior_789913_2025-10-02_22-10-21,789913,True,False,instrument upgrade error
behavior_789913_2025-10-03_20-37-47,789913,True,False,instrument upgrade error
behavior_789913_2025-10-07_20-53-50,789913,True,False,instrument upgrade error
behavior_789913_2025-10-08_20-46-13,789913,True,False,instrument upgrade error
behavior_789913_2025-10-09_21-57-31,789913,True,False,instrument upgrade error
behavior_789913_2025-10-10_20-43-03,789913,True,False,instrument upgrade error
behavior_789913_2025-10-13_17-10-36,789913,True,False,instrument upgrade error
behavior_789913_2025-10-14_17-49-17,789913,True,False,instrument upgrade error
behavior_789913_2025-10-15_17-20-58,789913,True,False,instrument upgrade error
behavior_789913_2025-10-16_17-35-25,789913,True,False,instrument upgrade error
behavior_789913_2025-10-17_16-59-51,789913,True,False,instrument upgrade error
behavior_789915_2025-09-26_16-34-19,789915,True,False,instrument upgrade error
behavior_789915_2025-09-29_16-42-27,789915,True,False,instrument upgrade error
behavior_789915_2025-09-30_15-51-52,789915,True,False,instrument upgrade error
behavior_789915_2025-10-01_16-01-45,789915,True,False,instrument upgrade error
behavior_789915_2025-10-02_16-16-57,789915,True,False,instrument upgrade error
behavior_789915_2025-10-03_16-23-29,789915,True,False,instrument upgrade error
behavior_789915_2025-10-06_15-54-43,789915,True,False,instrument upgrade error
behavior_789915_2025-10-07_15-29-57,789915,True,False,instrument upgrade error
behavior_789915_2025-10-08_15-57-52,789915,True,False,instrument upgrade error
behavior_789915_2025-10-09_16-04-39,789915,True,False,instrument upgrade error
behavior_789915_2025-10-10_16-16-08,789915,True,False,instrument upgrade error
behavior_789915_2025-10-13_19-38-47,789915,True,False,instrument upgrade error
behavior_789915_2025-10-14_19-53-00,789915,True,False,instrument upgrade error
behavior_789915_2025-10-15_19-31-32,789915,True,False,instrument upgrade error
behavior_789915_2025-10-16_20-43-52,789915,True,False,instrument upgrade error
behavior_789915_2025-10-17_20-18-47,789915,True,False,instrument upgrade error
behavior_789917_2025-09-22_16-17-35,789917,True,False,instrument upgrade error
behavior_789917_2025-09-23_16-23-03,789917,True,False,instrument upgrade error
behavior_789917_2025-09-24_16-03-30,789917,True,False,instrument upgrade error
behavior_789917_2025-09-25_16-19-46,789917,True,False,instrument upgrade error
behavior_789917_2025-09-26_16-07-51,789917,True,False,instrument upgrade error
behavior_789917_2025-09-29_16-22-13,789917,True,False,instrument upgrade error
behavior_789917_2025-09-30_15-51-46,789917,True,False,instrument upgrade error
behavior_789917_2025-10-01_15-59-48,789917,True,False,instrument upgrade error
behavior_789917_2025-10-02_16-16-51,789917,True,False,instrument upgrade error
behavior_789917_2025-10-03_16-23-18,789917,True,False,instrument upgrade error
behavior_789917_2025-10-06_15-54-38,789917,True,False,instrument upgrade error
behavior_789917_2025-10-07_15-32-12,789917,True,False,instrument upgrade error
behavior_789917_2025-10-08_15-57-42,789917,True,False,instrument upgrade error
behavior_789917_2025-10-09_15-58-47,789917,True,False,instrument upgrade error
behavior_789917_2025-10-10_16-16-27,789917,True,False,instrument upgrade error
behavior_789917_2025-10-13_19-38-56,789917,True,False,instrument upgrade error
behavior_789917_2025-10-14_19-52-55,789917,True,False,instrument upgrade error
behavior_789917_2025-10-15_19-31-27,789917,True,False,instrument upgrade error
behavior_789917_2025-10-16_20-43-47,789917,True,False,instrument upgrade error
behavior_789917_2025-10-17_20-18-42,789917,True,False,instrument upgrade error
behavior_789917_2025-10-20_20-34-17,789917,True,False,instrument upgrade error
behavior_789917_2025-10-21_19-34-44,789917,True,False,instrument upgrade error
behavior_789918_2025-09-23_21-54-10,789918,True,False,instrument upgrade error
behavior_789918_2025-09-24_20-24-18,789918,True,False,instrument upgrade error
behavior_789918_2025-09-25_20-27-40,789918,True,False,instrument upgrade error
behavior_789918_2025-09-26_18-25-29,789918,True,False,instrument upgrade error
behavior_789918_2025-09-29_19-03-33,789918,True,False,instrument upgrade error
behavior_789918_2025-09-30_19-40-35,789918,True,False,instrument upgrade error
behavior_789918_2025-10-01_18-59-10,789918,True,False,instrument upgrade error
behavior_789918_2025-10-02_20-19-52,789918,True,False,instrument upgrade error
behavior_789918_2025-10-03_18-56-15,789918,True,False,instrument upgrade error
behavior_789918_2025-10-06_19-07-37,789918,True,False,instrument upgrade error
behavior_789918_2025-10-07_19-04-57,789918,True,False,instrument upgrade error
behavior_789918_2025-10-08_18-50-29,789918,True,False,instrument upgrade error
behavior_789918_2025-10-09_20-22-31,789918,True,False,instrument upgrade error
behavior_789918_2025-10-10_18-59-51,789918,True,False,instrument upgrade error
behavior_789918_2025-10-13_15-27-59,789918,True,False,instrument upgrade error
behavior_789918_2025-10-14_16-10-30,789918,True,False,instrument upgrade error
behavior_789918_2025-10-15_15-53-27,789918,True,False,instrument upgrade error
behavior_789918_2025-10-16_15-49-42,789918,True,False,instrument upgrade error
behavior_789918_2025-10-17_15-33-04,789918,True,False,instrument upgrade error
behavior_789919_2025-09-26_18-26-42,789919,True,False,instrument upgrade error
behavior_789919_2025-09-29_19-03-44,789919,True,False,instrument upgrade error
behavior_789919_2025-09-30_19-40-43,789919,True,False,instrument upgrade error
behavior_789919_2025-10-01_18-59-18,789919,True,False,instrument upgrade error
behavior_789919_2025-10-02_20-20-25,789919,True,False,instrument upgrade error
behavior_789924_2025-09-18_16-02-18,789924,True,False,instrument upgrade error
behavior_789924_2025-09-19_16-06-30,789924,True,False,instrument upgrade error
behavior_789925_2025-10-07_15-29-46,789925,True,False,instrument upgrade error
behavior_789925_2025-10-08_15-57-28,789925,True,False,instrument upgrade error
behavior_789925_2025-10-09_16-04-29,789925,True,False,instrument upgrade error
behavior_789925_2025-10-10_16-18-41,789925,True,False,instrument upgrade error
behavior_789925_2025-10-13_19-39-02,789925,True,False,instrument upgrade error
behavior_789925_2025-10-14_19-52-50,789925,True,False,instrument upgrade error
behavior_789925_2025-10-15_19-31-19,789925,True,False,instrument upgrade error
behavior_789925_2025-10-16_20-43-41,789925,True,False,instrument upgrade error
behavior_789925_2025-10-17_20-18-34,789925,True,False,instrument upgrade error
behavior_794591_2025-10-07_19-04-35,794591,True,False,instrument upgrade error
behavior_794591_2025-10-08_18-50-42,794591,True,False,instrument upgrade error
behavior_794591_2025-10-09_20-22-43,794591,True,False,instrument upgrade error
behavior_794591_2025-10-10_18-59-25,794591,True,False,instrument upgrade error
behavior_794591_2025-10-14_17-57-50,794591,True,False,instrument upgrade error
behavior_794591_2025-10-15_16-39-00,794591,True,False,instrument upgrade error
behavior_794591_2025-10-17_17-00-09,794591,True,False,instrument upgrade error
behavior_794591_2025-10-19_17-52-03,794591,True,False,instrument upgrade error
behavior_794591_2025-10-20_16-52-39,794591,True,False,instrument upgrade error
behavior_794591_2025-10-21_17-02-35,794591,True,False,instrument upgrade error
behavior_794591_2025-10-22_17-09-46,794591,True,False,instrument upgrade error
behavior_794591_2025-10-23_16-46-09,794591,True,False,instrument upgrade error
behavior_794591_2025-10-24_17-21-18,794591,True,False,instrument upgrade error
behavior_794591_2025-10-27_18-21-28,794591,True,False,instrument upgrade error
behavior_794591_2025-10-28_17-20-23,794591,True,False,instrument upgrade error
behavior_794591_2025-10-29_18-12-05,794591,True,False,instrument upgrade error
behavior_794591_2025-10-30_17-14-07,794591,True,False,instrument upgrade error
behavior_794591_2025-10-31_17-04-22,794591,True,False,instrument upgrade error
behavior_794591_2025-11-04_20-19-41,794591,True,False,instrument upgrade error
behavior_794591_2025-11-06_19-26-12,794591,True,False,instrument upgrade error
behavior_794591_2025-11-10_18-31-32,794591,True,False,instrument upgrade error
behavior_798279_2025-10-08_18-50-52,798279,True,False,instrument upgrade error
behavior_798279_2025-10-09_20-22-54,798279,True,False,instrument upgrade error
behavior_798279_2025-10-14_16-10-40,798279,True,False,instrument upgrade error
behavior_798279_2025-10-15_16-08-59,798279,True,False,instrument upgrade error
behavior_798279_2025-10-16_15-51-31,798279,True,False,instrument upgrade error
