subject_id,raw_session,processed_session,collection_date,processing_date,collection_date_dt,processing_date_dt
744742,behavior_744742_2024-11-01_15-52-11,behavior_744742_2024-11-01_15-52-11_processed_2024-11-21_08-47-52,2024-11-01,2024-11-21,2024-11-01,2024-11-21
753124,behavior_753124_2024-11-04_11-04-03,behavior_753124_2024-11-04_11-04-03_processed_2024-11-21_08-51-45,2024-11-04,2024-11-21,2024-11-04,2024-11-21
741211,behavior_741211_2024-10-18_14-46-20,behavior_741211_2024-10-18_14-46-20_processed_2024-11-21_08-52-01,2024-10-18,2024-11-21,2024-10-18,2024-11-21
740610,behavior_740610_2024-11-04_17-16-12,behavior_740610_2024-11-04_17-16-12_processed_2024-11-21_07-22-24,2024-11-04,2024-11-21,2024-11-04,2024-11-21
744744,behavior_744744_2024-11-12_15-06-10,behavior_744744_2024-11-12_15-06-10_processed_2024-11-21_08-05-39,2024-11-12,2024-11-21,2024-11-12,2024-11-21
764791,behavior_764791_2024-11-06_09-36-09,behavior_764791_2024-11-06_09-36-09_processed_2024-11-19_17-56-43,2024-11-06,2024-11-19,2024-11-06,2024-11-19
749472,behavior_749472_2024-11-11_11-43-55,behavior_749472_2024-11-11_11-43-55_processed_2024-11-19_18-19-42,2024-11-11,2024-11-19,2024-11-11,2024-11-19
764791,behavior_764791_2024-11-08_09-33-16,behavior_764791_2024-11-08_09-33-16_processed_2024-11-19_18-19-29,2024-11-08,2024-11-19,2024-11-08,2024-11-19
764791,behavior_764791_2024-11-11_09-22-42,behavior_764791_2024-11-11_09-22-42_processed_2024-11-19_18-18-49,2024-11-11,2024-11-19,2024-11-11,2024-11-19
769887,behavior_769887_2024-11-06_09-39-22,behavior_769887_2024-11-06_09-39-22_processed_2024-11-19_18-03-59,2024-11-06,2024-11-19,2024-11-06,2024-11-19
744779,behavior_744779_2024-11-07_09-08-48,behavior_744779_2024-11-07_09-08-48_processed_2024-11-16_11-41-43,2024-11-07,2024-11-16,2024-11-07,2024-11-16
