_id,name,created,location,project_name,modality,investigators,experimenter_full_name,subject_id,data_level
81a49211-ff09-4dcc-a492-f5fe391f1ccc,behavior_821586_2026-01-22_12-44-46,2026-01-23T20:54:38.952352Z,s3://aind-open-data/behavior_821586_2026-01-22_12-44-46,Discovery Neuromodulation - Subproject 3 Fiber Photometry Recordings of NM Release During Behavior,"behavior, behavior-videos, fib","Alex Piet, Jonathan Ting, Kenta Hagihara, Rachel Lee, Stefano Recanatesi, Sue Su, Yoav Ben-Simon",dean.rette,821586,raw
cbc18967-1b6f-4a0e-b56f-85c9962570dc,behavior_820691_2026-01-22_09-01-30,2026-01-23T18:14:42.578337Z,s3://aind-open-data/behavior_820691_2026-01-22_09-01-30,Discovery Neuromodulation - Subproject 3 Fiber Photometry Recordings of NM Release During Behavior,"behavior, behavior-videos, fib","Alex Piet, Jonathan Ting, Kenta Hagihara, Rachel Lee, Stefano Recanatesi, Sue Su, Yoav Ben-Simon",ella.hilton,820691,raw
1d6f7324-15fb-4987-8db6-4342eb42c40a,behavior_820238_2026-01-22_17-37-47,2026-01-23T17:07:19.815477Z,s3://aind-open-data/behavior_820238_2026-01-22_17-37-47,Striatum,"behavior, behavior-videos, fib","Anna Lakunina, Bowen Tan, Josh Siegle",bowen.tan,820238,raw
0c774229-e914-419f-a334-601b3c9b0cc7,behavior_828706_2026-01-22_17-27-13,2026-01-23T16:49:45.207743Z,s3://aind-open-data/behavior_828706_2026-01-22_17-27-13,Striatum,"behavior, behavior-videos, fib","Anna Lakunina, Bowen Tan, Josh Siegle",bowen.tan,828706,raw
e14bf26b-44bc-45bc-aaf6-491e7f357ae3,behavior_818585_2026-01-22_13-16-18,2026-01-23T16:39:37.714006Z,s3://aind-open-data/behavior_818585_2026-01-22_13-16-18,Discovery Neuromodulation - Subproject 3 Fiber Photometry Recordings of NM Release During Behavior,"behavior, behavior-videos, fib","Alex Piet, Jonathan Ting, Kenta Hagihara, Rachel Lee, Stefano Recanatesi, Sue Su, Yoav Ben-Simon",madeline.tom,818585,raw
4e154a11-fe52-4e9c-b985-bbccacd33125,behavior_821786_2026-01-22_13-22-40,2026-01-23T16:32:57.706853Z,s3://aind-open-data/behavior_821786_2026-01-22_13-22-40,Discovery Neuromodulation - Subproject 3 Fiber Photometry Recordings of NM Release During Behavior,"behavior, behavior-videos, fib","Alex Piet, Jonathan Ting, Kenta Hagihara, Rachel Lee, Stefano Recanatesi, Sue Su, Yoav Ben-Simon",madeline.tom,821786,raw
0b5c7916-1825-4eef-bd94-8e00e8652a14,behavior_820651_2026-01-22_17-45-14,2026-01-23T16:22:38.392326Z,s3://aind-open-data/behavior_820651_2026-01-22_17-45-14,Striatum,"behavior, behavior-videos, fib","Anna Lakunina, Bowen Tan, Josh Siegle",bowen.tan,820651,raw
8b7d0a1f-413b-498c-94f2-8391a2e891a7,behavior_820688_2026-01-22_13-20-25,2026-01-23T15:51:59.126863Z,s3://aind-open-data/behavior_820688_2026-01-22_13-20-25,Discovery Neuromodulation - Subproject 3 Fiber Photometry Recordings of NM Release During Behavior,"behavior, behavior-videos, fib","Alex Piet, Jonathan Ting, Kenta Hagihara, Rachel Lee, Stefano Recanatesi, Sue Su, Yoav Ben-Simon",madeline.tom,820688,raw
39386e96-994b-4328-a0b6-04bcd1d80030,behavior_821573_2026-01-22_09-11-46,2026-01-23T15:48:38.676808Z,s3://aind-open-data/behavior_821573_2026-01-22_09-11-46,Discovery Neuromodulation - Subproject 3 Fiber Photometry Recordings of NM Release During Behavior,"behavior, behavior-videos, fib","Alex Piet, Jonathan Ting, Kenta Hagihara, Rachel Lee, Stefano Recanatesi, Sue Su, Yoav Ben-Simon",beno,821573,raw
b226b744-0d80-4a9e-9b5c-f249bd26c8f9,behavior_820115_2026-01-22_17-41-04,2026-01-23T15:48:35.547521Z,s3://aind-open-data/behavior_820115_2026-01-22_17-41-04,Striatum,"behavior, behavior-videos, fib","Anna Lakunina, Bowen Tan, Josh Siegle",bowen.tan,820115,raw
b8663e9d-e539-46cd-b56e-a2e01e722a79,behavior_820117_2026-01-22_17-23-17,2026-01-23T15:48:34.289095Z,s3://aind-open-data/behavior_820117_2026-01-22_17-23-17,Striatum,"behavior, behavior-videos, fib","Anna Lakunina, Bowen Tan, Josh Siegle",bowen.tan,820117,raw
30a198ab-9c85-4d54-bd82-adcffc101946,behavior_818909_2026-01-22_17-32-24,2026-01-23T15:24:31.801387Z,s3://aind-open-data/behavior_818909_2026-01-22_17-32-24,Striatum,"behavior, behavior-videos, fib","Anna Lakunina, Bowen Tan, Josh Siegle",bowen.tan,818909,raw
1b794820-8112-46eb-bb2a-26b0ca4260ce,behavior_818586_2026-01-22_08-35-28,2026-01-23T14:49:53.043171Z,s3://aind-open-data/behavior_818586_2026-01-22_08-35-28,Discovery Neuromodulation - Subproject 3 Fiber Photometry Recordings of NM Release During Behavior,"behavior, behavior-videos, fib","Alex Piet, Jonathan Ting, Kenta Hagihara, Rachel Lee, Stefano Recanatesi, Sue Su, Yoav Ben-Simon",margaret.lee,818586,raw
b80e4711-4964-4228-8e81-aab2690262e2,behavior_816881_2026-01-22_09-32-03,2026-01-23T06:12:48.791192Z,s3://aind-open-data/behavior_816881_2026-01-22_09-32-03,Discovery Neuromodulation - Subproject 3 Fiber Photometry Recordings of NM Release During Behavior,"behavior, behavior-videos, fib","Alex Piet, Jonathan Ting, Kenta Hagihara, Rachel Lee, Stefano Recanatesi, Sue Su, Yoav Ben-Simon",jaimie.kenney,816881,raw
8138e6ae-b559-470d-ad5d-5d809d8944e0,behavior_816883_2026-01-22_13-09-25,2026-01-23T05:19:36.503570Z,s3://aind-open-data/behavior_816883_2026-01-22_13-09-25,Discovery Neuromodulation - Subproject 3 Fiber Photometry Recordings of NM Release During Behavior,"behavior, behavior-videos, fib","Alex Piet, Jonathan Ting, Kenta Hagihara, Rachel Lee, Stefano Recanatesi, Sue Su, Yoav Ben-Simon",dean.rette,816883,raw
686d0b7d-defc-45df-82c6-9ec43c34dbae,behavior_816886_2026-01-22_13-03-27,2026-01-23T05:13:42.394571Z,s3://aind-open-data/behavior_816886_2026-01-22_13-03-27,Discovery Neuromodulation - Subproject 3 Fiber Photometry Recordings of NM Release During Behavior,"behavior, behavior-videos, fib","Alex Piet, Jonathan Ting, Kenta Hagihara, Rachel Lee, Stefano Recanatesi, Sue Su, Yoav Ben-Simon",dean.rette,816886,raw
b259e3ad-a21c-4957-af57-3fa92168975b,behavior_827183_2026-01-22_09-16-36,2026-01-23T05:08:47.194271Z,s3://aind-open-data/behavior_827183_2026-01-22_09-16-36,Striatum,behavior,"Anna Lakunina, Bowen Tan, Josh Siegle",beno,827183,raw
89de13b2-63e3-41fc-adad-30c709ebd5d9,behavior_821576_2026-01-22_09-34-04,2026-01-23T05:05:25.474238Z,s3://aind-open-data/behavior_821576_2026-01-22_09-34-04,Discovery Neuromodulation - Subproject 3 Fiber Photometry Recordings of NM Release During Behavior,behavior,"Alex Piet, Jonathan Ting, Kenta Hagihara, Rachel Lee, Stefano Recanatesi, Sue Su, Yoav Ben-Simon",jaimie.kenney,821576,raw
62bfe55c-748d-4984-a23a-76221a8ab7cf,behavior_823972_2026-01-22_09-14-40,2026-01-23T04:58:03.012283Z,s3://aind-open-data/behavior_823972_2026-01-22_09-14-40,Striatum,behavior,"Anna Lakunina, Bowen Tan, Josh Siegle",beno,823972,raw
d3de3b20-c154-49d6-8742-28611a48d3dc,behavior_816883_2026-01-22_12-42-04,2026-01-23T04:49:22.952905Z,s3://aind-open-data/behavior_816883_2026-01-22_12-42-04,Discovery Neuromodulation - Subproject 3 Fiber Photometry Recordings of NM Release During Behavior,"behavior, behavior-videos, fib","Alex Piet, Jonathan Ting, Kenta Hagihara, Rachel Lee, Stefano Recanatesi, Sue Su, Yoav Ben-Simon",dean.rette,816883,raw
e1d610d8-44c7-4539-b2b5-b600c5c41eb2,behavior_828356_2026-01-22_08-37-31,2026-01-23T04:45:34.134226Z,s3://aind-open-data/behavior_828356_2026-01-22_08-37-31,Discovery Neuromodulation - Subproject 1 Electrophysiological Recordings from NM Neurons During Behavior,behavior,"Kanghoon Jung, Sue Su",margaret.lee,828356,raw
