session_id,raw_data_CO_dataasset_id,old_id,hdf5_file,dir_in_asset
behavior_ZS059_2021-03-24_14-22-04,478c9648-c97c-4618-9c75-15293beba358,mZS059d20210324,\\allen\aind\stage\hopkins_data\ZS059\mZS059d20210324\neuralynx\session\raw_data.hdf5,ecephys/neuralynx/session/raw_data.hdf5
behavior_ZS059_2021-03-24_14-22-04,478c9648-c97c-4618-9c75-15293beba358,mZS059d20210324,\\allen\aind\stage\hopkins_data\ZS059\mZS059d20210324\neuralynx\opto\10ms\raw_data.hdf5,ecephys/neuralynx/session/opto/10ms/raw_data.hdf5
behavior_ZS059_2021-03-24_14-22-04,478c9648-c97c-4618-9c75-15293beba358,mZS059d20210324,\\allen\aind\stage\hopkins_data\ZS059\mZS059d20210324\neuralynx\opto\200ms\raw_data.hdf5,ecephys/neuralynx/session/opto/200ms/raw_data.hdf5
behavior_ZS059_2021-03-25_14-40-45,a527b2e5-f42f-4942-af21-a7443b42c1ae,mZS059d20210325,\\allen\aind\stage\hopkins_data\ZS059\mZS059d20210325\neuralynx\session\raw_data.hdf5,ecephys/neuralynx/session/raw_data.hdf5
behavior_ZS059_2021-03-25_14-40-45,a527b2e5-f42f-4942-af21-a7443b42c1ae,mZS059d20210325,\\allen\aind\stage\hopkins_data\ZS059\mZS059d20210325\neuralynx\opto\10ms\raw_data.hdf5,ecephys/neuralynx/session/opto/10ms/raw_data.hdf5
behavior_ZS059_2021-03-25_14-40-45,a527b2e5-f42f-4942-af21-a7443b42c1ae,mZS059d20210325,\\allen\aind\stage\hopkins_data\ZS059\mZS059d20210325\neuralynx\opto\200ms\raw_data.hdf5,ecephys/neuralynx/session/opto/200ms/raw_data.hdf5
behavior_ZS059_2021-03-26_13-52-11,5b7e4a84-e4af-4b0a-9953-7867e5efa68d,mZS059d20210326,\\allen\aind\stage\hopkins_data\ZS059\mZS059d20210326\neuralynx\session\raw_data.hdf5,ecephys/neuralynx/session/raw_data.hdf5
behavior_ZS059_2021-03-26_13-52-11,5b7e4a84-e4af-4b0a-9953-7867e5efa68d,mZS059d20210326,\\allen\aind\stage\hopkins_data\ZS059\mZS059d20210326\neuralynx\opto\10ms\raw_data.hdf5,ecephys/neuralynx/session/opto/10ms/raw_data.hdf5
behavior_ZS059_2021-03-26_13-52-11,5b7e4a84-e4af-4b0a-9953-7867e5efa68d,mZS059d20210326,\\allen\aind\stage\hopkins_data\ZS059\mZS059d20210326\neuralynx\opto\200ms\raw_data.hdf5,ecephys/neuralynx/session/opto/200ms/raw_data.hdf5
behavior_ZS059_2021-03-26_13-52-11,5b7e4a84-e4af-4b0a-9953-7867e5efa68d,mZS059d20210326,\\allen\aind\stage\hopkins_data\ZS059\mZS059d20210326\neuralynx\opto\20ms\raw_data.hdf5,ecephys/neuralynx/session/opto/20ms/raw_data.hdf5
