session_name,subject_id,session_date,spreadsheet_reward_size_ul,spreadsheet_water_received_ul,behavioral_total_rewards,behavioral_reward_volume_ul,behavioral_calculated_volume_ul
mZS061d20210317,ZS061,2021-03-17,2.5,0.42,167,417.5,417.5
mZS061d20210318,ZS061,2021-03-18,2.5,0.48,118,295.0,295.0
mZS061d20210319,ZS061,2021-03-19,2.5,0.45,181,452.5,452.5
mZS061d20210320,ZS061,2021-03-20,2.5,0.65,268,670.0,670.0
mZS061d20210321,ZS061,2021-03-21,2.5,0.565,226,565.0,565.0
mZS061d20210322,ZS061,2021-03-22,,0.555,203,609.0,609.0
mZS061d20210323,ZS061,2021-03-23,2.5,0.55,219,547.5,547.5
mZS061d20210324,ZS061,2021-03-24,2.5,0.69,276,690.0,690.0
mZS061d20210325,ZS061,2021-03-25,2.5,0.6,242,605.0,605.0
mZS061d20210326,ZS061,2021-03-26,2.5,0.52,207,517.5,517.5
mZS061d20210327,ZS061,2021-03-27,2.5,0.425,169,422.5,422.5
mZS061d20210328,ZS061,2021-03-28,2.5,0.5,201,502.5,502.5
mZS061d20210329,ZS061,2021-03-29,2.5,0.65,265,662.5,662.5
mZS061d20210330,ZS061,2021-03-30,2.5,0.68,242,605.0,605.0
mZS061d20210331,ZS061,2021-03-31,2.5,0.59,236,590.0,590.0
mZS061d20210401,ZS061,2021-04-01,2.5,0.58,232,580.0,580.0
mZS061d20210402,ZS061,2021-04-02,2.5,0.64,256,640.0,640.0
mZS061d20210403,ZS061,2021-04-03,2.5,0.65,268,670.0,670.0
mZS061d20210404,ZS061,2021-04-04,2.5,0.59,236,590.0,590.0
mZS061d20210405,ZS061,2021-04-05,2.5,0.605,242,605.0,605.0
mZS061d20210406,ZS061,2021-04-06,2.5,0.59,236,590.0,590.0
mZS061d20210407,ZS061,2021-04-07,2.5,0.58,231,577.5,577.5
mZS061d20210408,ZS061,2021-04-08,2.5,0.6,242,605.0,605.0
mZS061d20210409,ZS061,2021-04-09,2.5,0.655,262,655.0,655.0
mZS061d20210410,ZS061,2021-04-10,2.5,0.65,268,670.0,670.0
mZS061d20210411,ZS061,2021-04-11,2.5,0.58,232,580.0,580.0
mZS061d20210412,ZS061,2021-04-12,2.5,0.68,273,682.5,682.5
mZS061d20210413,ZS061,2021-04-13,2.5,0.62,248,620.0,620.0
mZS061d20210414,ZS061,2021-04-14,2.5,0.415,167,417.5,417.5
mZS061d20210415,ZS061,2021-04-15,2.5,0.65,269,672.5,672.5
mZS061d20210416,ZS061,2021-04-16,2.5,0.69,278,695.0,695.0
mZS061d20210417,ZS061,2021-04-17,2.5,0.75,306,765.0,765.0
mZS061d20210418,ZS061,2021-04-18,2.5,0.755,302,755.0,755.0
mZS061d20210419,ZS061,2021-04-19,2.5,0.51,203,507.5,507.5
mZS061d20210420,ZS061,2021-04-20,2.5,0.575,230,575.0,575.0
mZS061d20210421,ZS061,2021-04-21,2.5,0.645,257,642.5,642.5
mZS061d20210423,ZS061,2021-04-23,2.5,0.55,220,550.0,550.0
mZS061d20210424,ZS061,2021-04-24,2.5,0.49,195,487.5,487.5
mZS061d20210425,ZS061,2021-04-25,2.5,0.59,235,587.5,587.5
mZS061d20210426,ZS061,2021-04-26,2.5,0.44,169,422.5,422.5
mZS061d20210427,ZS061,2021-04-27,2.5,0.545,218,545.0,545.0
mZS061d20210428,ZS061,2021-04-28,2.5,0.55,220,550.0,550.0
mZS061d20210429,ZS061,2021-04-29,2.5,0.645,185,462.5,462.5
mZS061d20210430,ZS061,2021-04-30,2.5,0.52,207,517.5,517.5
mZS061d20210501,ZS061,2021-05-01,2.5,0.57,227,567.5,567.5
mZS062d20210324,ZS062,2021-03-24,2.5,0.585,224,560.0,560.0
mZS062d20210325,ZS062,2021-03-25,2.5,0.395,157,392.5,392.5
mZS062d20210326,ZS062,2021-03-26,2.5,0.505,202,505.0,505.0
mZS062d20210327,ZS062,2021-03-27,2.5,0.5,208,520.0,520.0
mZS062d20210328,ZS062,2021-03-28,2.5,0.55,234,585.0,585.0
mZS062d20210330,ZS062,2021-03-30,2.5,0.45,192,480.0,480.0
mZS062d20210331,ZS062,2021-03-31,2.5,0.41,163,407.5,407.5
mZS062d20210401,ZS062,2021-04-01,2.5,0.72,285,712.5,712.5
mZS062d20210402,ZS062,2021-04-02,2.5,0.55,233,582.5,582.5
mZS062d20210403,ZS062,2021-04-03,2.5,0.55,209,522.5,522.5
mZS062d20210404,ZS062,2021-04-04,2.5,0.31,123,307.5,307.5
mZS062d20210405,ZS062,2021-04-05,2.5,0.365,146,365.0,365.0
mZS062d20210406,ZS062,2021-04-06,2.5,0.48,192,480.0,480.0
mZS062d20210407,ZS062,2021-04-07,2.5,0.455,181,452.5,452.5
mZS062d20210408,ZS062,2021-04-08,2.5,0.455,182,455.0,455.0
mZS062d20210409,ZS062,2021-04-09,2.5,0.465,185,462.5,462.5
mZS062d20210410,ZS062,2021-04-10,2.5,0.465,186,465.0,465.0
mZS062d20210411,ZS062,2021-04-11,2.5,0.46,184,460.0,460.0
mZS062d20210412,ZS062,2021-04-12,2.5,0.38,153,382.5,382.5
mZS062d20210413,ZS062,2021-04-13,2.5,0.565,225,562.5,562.5
mZS062d20210414,ZS062,2021-04-14,2.5,0.41,163,407.5,407.5
mZS062d20210415,ZS062,2021-04-15,2.5,0.45,180,450.0,450.0
mZS062d20210416,ZS062,2021-04-16,2.5,0.28,111,277.5,277.5
mZS062d20210417,ZS062,2021-04-17,2.5,0.465,186,465.0,465.0
mZS062d20210418,ZS062,2021-04-18,2.5,0.36,143,357.5,357.5
mZS062d20210419,ZS062,2021-04-19,2.5,0.43,152,380.0,380.0
mZS062d20210420,ZS062,2021-04-20,2.5,0.645,258,645.0,645.0
mZS062d20210421,ZS062,2021-04-21,2.5,0.6,237,592.5,592.5
mZS062d20210422,ZS062,2021-04-22,2.5,0.64,253,632.5,632.5
mZS062d20210423,ZS062,2021-04-23,2.5,0.62,248,620.0,620.0
mZS062d20210424,ZS062,2021-04-24,2.5,0.52,208,520.0,520.0
mZS062d20210425,ZS062,2021-04-25,2.5,0.5,198,495.0,495.0
mZS062d20210426,ZS062,2021-04-26,2.5,0.37,148,370.0,370.0
mZS062d20210427,ZS062,2021-04-27,2.5,0.625,248,620.0,620.0
mZS062d20210428,ZS062,2021-04-28,2.5,0.615,246,615.0,615.0
mZS062d20210429,ZS062,2021-04-29,2.5,0.465,185,462.5,462.5
mZS062d20210430,ZS062,2021-04-30,2.5,0.445,178,445.0,445.0
mZS062d20210501,ZS062,2021-05-01,2.5,0.675,270,675.0,675.0
mZS062d20210502,ZS062,2021-05-02,2.5,0.56,224,560.0,560.0
mZS062d20210503,ZS062,2021-05-03,2.5,0.43,171,427.5,427.5
mZS062d20210504,ZS062,2021-05-04,2.5,0.6,240,600.0,600.0
mZS062d20210505,ZS062,2021-05-05,2.5,0.515,206,515.0,515.0
mZS062d20210506,ZS062,2021-05-06,2.5,0.58,232,580.0,580.0
mZS062d20210507,ZS062,2021-05-07,2.5,0.595,237,592.5,592.5
mZS062d20210508,ZS062,2021-05-08,2.5,0.645,257,642.5,642.5
mZS062d20210509,ZS062,2021-05-09,2.5,0.4,162,405.0,405.0
mZS062d20210510,ZS062,2021-05-10,2.5,0.57,227,567.5,567.5
mZS062d20210511,ZS062,2021-05-11,2.5,0.552,221,552.5,552.5
mZS060d20210327,ZS060,2021-03-27,2.5,0.55,185,462.5,462.5
mZS060d20210328,ZS060,2021-03-28,2.5,0.35,99,247.5,247.5
mZS060d20210329,ZS060,2021-03-29,2.5,0.59,196,490.0,490.0
mZS060d20210330,ZS060,2021-03-30,2.5,0.5,162,405.0,405.0
mZS060d20210407,ZS060,2021-04-07,2.5,0.71,243,607.5,607.5
mZS060d20210408,ZS060,2021-04-08,2.5,0.72,248,620.0,620.0
mZS060d20210409,ZS060,2021-04-09,2.5,0.715,246,615.0,615.0
mZS060d20210410,ZS060,2021-04-10,2.5,0.68,232,580.0,580.0
mZS060d20210411,ZS060,2021-04-11,2.5,0.515,206,515.0,515.0
