 ,,,,,,,,Stage1,Stage1,Stage1,Stage2,Stage2,Stage2,Stage2,Stage2,Stage2,Stage2,,Stage2,Stage2,Stage2,Stage2,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,0,0,Stage3,Stage3,
Date,2021/02/12,2021/02/13,2021/02/14,2021/02/15,2021/02/16,2021/02/17,2021/02/18,2021/02/19,2021/02/20,2021/02/21,2021/02/22,2021/02/23,2021/02/24,2021/02/25,2021/02/26,2021/02/27,2021/02/28,2021/03/01,2021/03/02,2021/03/03,2021/03/04,2021/03/05,2021/03/06,2021/03/07,2021/03/08,2021/03/09,2021/03/10,2021/03/11,2021/03/12,2021/03/13,2021/03/14,2021/03/15,2021/03/16,2021/03/17,2021/03/18,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021,4/1/2021,4/2/2021,4/3/2021,4/4/2021,4/5/2021,4/6/2021,4/7/2021,4/8/2021,4/9/2021,4/10/2021,4/11/2021,4/12/2021,4/13/2021,4/14/2021,4/15/2021,4/16/2021,4/17/2021,4/18/2021,4/19/2021,4/20/2021,4/21/2021,4/22/2021,4/23/2021,4/24/2021,4/25/2021,4/26/2021,4/27/2021,4/28/2021,4/29/2021,4/30/2021,5/1/2021,5/2/2021,5/3/2021,5/11/2021
Time Started,,,,,,,,3:00 PM,5:40 PM,2:45 PM,3:25 PM,4:10 PM,3:25 PM,3:05 PM,5:15 PM,,4:10 PM,,6:25 PM,2:00:00 PM,2:25 PM,3:45 PM,4:50 PM,4:25 PM,3:10 PM,1:15 PM,12:40 PM,12:10 PM,2:25 PM,2:45 PM,2:45 PM,1:10 PM,1:10 PM,1:30 PM,3:20 PM,3:15 PM,3:25 PM,3:20 PM,2:40 PM,2:00 PM,2:20 PM,2:35 PM,1:35 PM,3:50 PM,2:20 PM,2:55 PM,2:55 PM,2:30 PM,2:15 PM,3:05 PM,4:25 PM,3:20 PM,2:30 PM,2:35 PM,2:00 PM,3:45 PM,3:50 PM,3:55 PM,3:45 PM,3:00 PM,3:40 PM,2:50 PM,3:30 PM,2:55 PM,3:50 PM,5:20 PM,2:35 PM,2:50 PM,3:50 PM,3:10 PM,2:50 PM,3:35 PM,4:35 PM,2:45 PM,3:05 PM,2:05 PM,2:00 PM,,8:55 PM,,,
Time Ended,,,,,,,,3:10 PM,5:55 PM,2:55 PM,3:55 PM,4:45 PM,4:00 PM,3:40 PM,6:00 PM,,5:00 PM,,7:20 PM,2:45 PM,3:02 PM,4:45 PM,5:45 PM,5:20 PM,3:50 PM,2:00 PM,1:20 PM,1:05 PM,3:25 PM,3:30 PM,3:45 PM,14:00,2:16 PM,2:35 PM,4:20 PM,4:10 PM,4:10 PM,4:10 PM,4:00 PM,3:00 PM,3:25 PM,3:50 PM,2:45 PM,4:50 PM,3:15 PM,15:55,3:55 PM,,3:15 PM,4:15 PM,5:30 PM,4:20 PM,3:45 PM,3:45 PM,3:05 PM,4:35 PM,4:45 PM,4:40 PM,4:30 PM,3:40 PM,4:30 PM,3:50 PM,4:25 PM,3:50 PM,4:40 PM,6:20 PM,3:25 PM,3:40 PM,4:40 PM,4:10 PM,3:50 PM,4:40 PM,5:25 PM,,4:05 PM,3:00 PM,3:00 PM,,,,,
Start contingency,,,,,,,,0/100,100/0,0/100,90/10,10/90,90/10,90/10,10/90,,90/10,,90/10,10/90,10/90,90/10,90/10,10/90,90/10,10/90,90/10,90/10,10/90,90/10,10/90,90/10,10/90,90/10,10/90,10/90,90/10,10/90,10/90,90/10,90/10,10/90,90/10,10/90,10/90,10/90,10/90,90/10,90/10,10/90,90/10,10/90,90/10,10/90,90/10,10/90,10/90,90/10,10/90,90/10,90/10,90/10,10/90,90/10,90/10,10/90,90/10,90/10,10/90,10/90,10/90,10/90,10/90,10/90,10/90,10/90,10/90,,,,,
Num. of reward L/R ,,,,,,,,116/123,161/150,110/121,76/69,51/56,89/77,62/56,66/55,,68/61,,81/85,56/82,56/73,110/79,57/29 (last session),90/112,68/52,77/74,115/53,142/73,99/95,72/66,101/134,101/93,35/187,81/135,91/89,60/94,109/54,109/87,76/162,111/119,124/83,92/145,163/55,102/107,73/120,208/45,96/137,50/151,158/66,132/88,146/146,145/113,205/97,67/133,132/126,105/62,44/130,108/105,94/110,100/79,63/66,119/101,87/106,83/110,136/63,91/108,58/120,85/89,126/35,96/83,123/84,131/83,64/104,120/76,134/65,134/99,137/122,,,,,
No. of trials,,,,,,,,235,310,230,207,225,261,176,236,,223,,307,201,221,314,253,299,205,263,290,381,388,259,375,300,364,360,292,300,290,300,473,442,416,435,400,374,326,474,378,384,398,463-115,439,401,483,520,406,305,313,315,323,281,327,349,319,390,331,345,266,301,304,334,354,322,345,344,321,357,412,,,,,
No. nolick max,,,,,,,,3,3,3,3,3,3,3,3,,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,
Autopause,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
No-lick window,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
rwdDelay,,,,,,,,,,,100,100,100,100,100,,100,,200,200,200,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,,,
 PersevAdd/Autopauses,,,,,,,,,,,,16/0,12/0,7/4,22/1,,17/1,,31/2,9/3,15/1,25/2,6/5,6/5,11/5,13/3,13/1,18/0,33/1,13/2,13/0,13/3,13/5,17/0,13/7,22/4,18/13,9/4,32/6,22/0,29/0,27/1,17/0,18/0,15/0,18/0,20/0,32/0,19/0,42/0,14/0,7/0,19/0,22/0,10/0,15/0,19/0,6/0,10/0,10/0,25/0,13/0,17/0,21/0,20/0,17/0,6/0,14/0,21/0,24/0,18/0,14/0,20/0,16/0,22/0,17/0,11/0,,,,,
Coordinates,,,,,,,,-55 -443 591,-55 -443 591,-55 -55 82,-55 -55 82,-55 -55 82,-55 -55 82,-66 -55 82,-66 -55 82,,104 -55 400,,350 500 400,350 500 400,-93 131 -185,361 733 77,120 733 77,-98 984 77,98 -536 -946,216 -536 -946,216 -536 -946,216 -536 -946,-202 -536 -946,150 -536 -1200,150 -536 -1200,355 -536 -1200,355 -536 -1200,600 -536 -1200,667 -809 -1200,667 -809 -1200,720 -809 -1200,700 -809 -1200,450 -809 -1200,750 -809 -1200,900 -809 -1200,900 -809 -1200,800 -809 -750,800 -809 -750,800 -809 -750,550 -809 -750,1150 -809 -750,1250 -809 -750,1650 -809 -750,1150 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1150 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1350 -809 -750,1450 -550 -750,1600 -550 -750,1850 -550 -750,1650 -550 -750,1500 -550 -750,1500 -550 -750,1500 -550 -750,1500 -550 -750,1500 -250 -750,1500 -50 -750,1500 200 -750,1500 200 -750,1500 200 -750,,,
