24.2/28.8,,,,,,,,Stage1,Stage1,Stage1,Stage2,Stage2,Stage2,Stage2,Stage2,,Stage2,Stage3,Stage2,Stage2,Stage2,Stage2,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,0,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,0,Stage3,,,,,
Date,2021/02/12,2021/02/13,2021/02/14,2021/02/15,2021/02/16,2021/02/17,2021/02/18,2021/02/19,2021/02/20,2021/02/21,2021/02/22,2021/02/23,2021/02/24,2021/02/25,2021/02/26,2021/02/27,2021/02/28,2021/03/01,2021/03/02,2021/03/03,2021/03/04,2021/03/05,2021/03/06,2021/03/07,2021/03/08,2021/03/09,2021/03/10,2021/03/11,2021/03/12,2021/03/13,2021/03/14,2021/03/15,2021/03/16,2021/03/17,2021/03/18,2021/03/19,2021/03/20,2021/03/21,2021/03/22,2021/03/23,2021/03/24,2021/03/25,2021/03/26,2021/03/27,2021/03/28,2021/03/29,2021/03/30,2021/03/31,2021/04/01,2021/04/02,2021/04/03,2021/04/04,2021/04/05,2021/04/06,2021/04/07,2021/04/08,2021/04/09,2021/04/10,2021/04/11,2021/04/12,2021/04/13,2021/04/14,2021/04/15,2021/04/16,2021/04/17,2021/04/18,2021/04/19,2021/04/20,2021/04/21,2021/04/22,2021/04/23,2021/04/24,2021/04/25,2021/04/26,2021/04/27,2021/04/28,2021/04/29,2021/04/30,2021/05/01,2021/05/02,2021/05/03,2021/05/11,,
Time Started,,,,,,,,3:20 PM,6:00 PM,3:00 PM,6:00 PM,6:20 PM,4:10 PM,3:40 PM,6:00 PM,,5:10 PM,,7:30 PM,2:55 PM,3:10 PM,4:50 PM,5:50 PM,5:40 PM,4:00 PM,2:20 PM,1:25 PM,1:45 PM,3:35 PM,3:35 PM,3:55 PM,2:10 PM,2:25 PM,2:40 PM,4:25 PM,4:20 PM,4:20 PM,4:15 PM,4:25 PM,3:15 PM,3:40 PM,4:00 PM,2:50 PM,5:00 PM,3:40 PM,4:40 PM,4:05 PM,3:45 PM,3:30 PM,4:30 PM,5:45 PM,4:30 PM,,,3:25 PM,4:40 PM,5:00 PM,4:55 PM,4:40 PM,4:00 PM,,6:15 PM,6:55 PM,4:10 PM,,,,7:20 PM,7:20 PM,6:30 PM,6:35 PM,6:50 PM,7:45 PM,7:20 PM,4:15 PM,3:15 PM,3:15 PM,,,,,,,
Time Ended,,,,,,,,3:25 PM,6:15 PM,3:12 PM,6:20 PM,7:00 PM,4:45 PM,4:18 PM,6:50 PM,,6:05 PM,,8:20 PM,1:35 PM,4:00 PM,5:50 PM,6:50 PM,8:40 PM,4:45 PM,3:10 PM,2:07 PM,2:40 PM,4:40 PM,4:40 PM,4:55 PM,2:40 PM,3:25 PM,3:55 PM,5:30 PM,5:40 PM,5:50 PM,5:25 PM,5:25 PM,4:10 PM,5:00 PM,5:00 PM,3:50 PM,6:00 PM,4:20 PM,5:25 PM,4:55 PM,5:00 PM,4:23 PM,5:35 PM,6:40 PM,5:25 PM,,,4:15 PM,5:40 PM,6:00 PM,5:50 PM,5:35 PM,4:50 PM,,7:15 PM,8:00 PM,4:55 PM,,,,,8:20 PM,7:35 PM,7:20 PM,7:40 PM,2030,8:10 PM,5:15 PM,4:15 PM,4:05 PM,,,,,,,
Start contingency,,,,,,,,100/0,0/100,100/0,10/90,90/10,10/90,90/10,10/90,,90/10,,10/90,10/90,90/10,90/10,10/90,90/10,10/90,90/10,10/90,10/90,90/10,10/90,90/10,90/10,10/90,90/10,10/90,10/90,10/50,10/90,10/90,90/10,90/10,90/10,90/10,90/10,10/90,10/90,90/10,90/10,10/90,10/90,90/10,10/90,,,10/90,90/10,10/90,90/10,10/90,90/10,,90/10,10/90,90/10,,,,,10/90,90/10,10/90,90/10,10/90,90/10,90/10,10/90,10/90,,,,,,,
Num. of reward L/R ,,,,,,,,105/100,170/181,181/161,64/69,108/99,62/71,92/78,67/74,,85/65,,85/95,74/87,64/84,85/97,121/35,84/92,84/51,100/36,59/98,87/91,111/109,85/111,60/136,105/49,72/140,131/97,105/99,114/93,208/109,106/111,113/68,112/99,153/143,84/100,123/55,108/77,42/57,74/122,92/70,202/62,99/91,13/163,120/65,  ,,,64/179,103/145,140/106,163/69,70/136,34/90,,165/58,80/126,156/61,,,,,84/161,141/122,87/136,101/110,120/106,120/73,91/143,145/126,,,,,,,,
No. of trials,,,,,,,,202,348,341,190,331,,,224.,,284,,297,240,276,271,260,284,247,245,237,302,388,394,374,224,248,370,358,419,624,519,409,402,594,374,341,360,315,393,287,462,367,374,345,,,,371,398,348,377,325,369,,430,402,336,,,,,453,458,345,318,366,376,400,429,351,,,,,,,
No. nolick max,,,,,,,,3,3,3,3,3,3,3,3,,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,3,3,3,,3,3,3,,,,,3,3,3,3,3,3,3,3,3,3,3,,,,,
Autopause,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
No-lick window,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
rwdDelay,,,,,,,,,,,100,100,100,100,100,,100,,200,200,200,200,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,,,,300,300,300,300,300,300,,300,300,300,,,,,300,300,300,300,300,300,300,300,300,300,300,,,,,
 PersevAdd/Autopauses,,,,,,,,,,,7/0,22/0,12/0,9/10,18/1,,31/0,,30/1,10/4,30/3,15/5,9/2,17/0,13/3,16/4,,14/1,24/1,28/0,36/0,9/5,16/2,18/2,21/2,39/4,48/0,44/0,36/0,34/0,57/0,29/0,26/0,16/0,51/0,25/0,13/0,22/0,27/0,34/0,28/0,,,,12/0,,7/0,12/0,4/0,47/0,,32/0,25/0,9/0,,,,,9/0,17/0,10/0,9/0,14/0,23/0,17/0,14/0,,,,,,,,
Coordinates,,,,,,,,115 -610 1000,115 -610 1000,115 -310 1000,115 290 2000,640 290 1600,640 290 1600,738 290 1600,585 290 1600,,750 500 1600,,750 500 1600,750 500 1600,-5 202 1143,552 1285 295,964 1006 1176,0 0 0 (moved stage so cleared) ,450 0 0,260 0 0,150 0 738,159 0 738,300 0 377,416 -150 377,816 0 377,1100 0 377,850 to 1050 0 377,1050 0 377,700 0 377,550 0 377 ,550 0 377 ,550 0 771 ,550 0 771 ,750 0 771 ,1000 0 771 ,1350 0 771 ,1350 0 771 ,1350 0 771 ,1200 0 771 ,1000 0 771 ,1800 0 771 ,2100 0 771 ,1850 0 771 ,1650 0 771 ,1900 0 771 ,,,,1700 0 771 ,1950 0 771 ,1950 0 771 ,1850 0 771 ,1850 0 771 ,1850 0 771 ,1850 0 771 ,2050 0 771 ,1800 0 771 ,1900 0 771 ,,,,,1900 0 771 ,1900 0 771 ,1900 0 771 ,1900 0 771 ,1900 0 771 ,1900 0 771 ,2100 250 771 ,2100 250 771 ,2100 250 771 ,2100 250 771 ,2100 250 771 ,,,,,
Reward size,,,,,,,,4,4,4,4,4,4,4,4,,4,,4,4,4,4,4,4,3,3,3,3,2.5,2.5,2.5,2.5,3,2.5,3,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,
