24.4/29.2,,,,,,,,Stage1,Stage1,Stage1,Stage2,Stage2,Stage2,Stage2,Stage2,Stage2,Stage2,Stage2,Stage2,Stage2,Stage2,Stage2,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,Stage 3,0,,,,,
Date,2021/02/12,2021/02/13,2021/02/14,2021/02/15,2021/02/16,2021/02/17,2021/02/18,2021/02/19,2021/02/20,2021/02/21,2021/02/22,2021/02/23,2021/02/24,2021/02/25,2021/02/26,2021/02/27,2021/02/28,2021/03/01,2021/03/02,2021/03/03,2021/03/04,2021/03/05,2021/03/06,2021/03/07,2021/03/08,2021/03/09,2021/03/10,2021/03/11,2021/03/12,2021/03/13,2021/03/14,2021/03/15,2021/03/16,2021/03/17,2021/03/18,2021/03/19,2021/03/20,2021/03/21,2021/03/22,2021/03/23,2021/03/24,2021/03/25,2021/03/26,2021/03/27,2021/03/28,2021/03/29,2021/03/30,2021/03/31,2021/04/01,2021/04/02,2021/04/03,2021/04/04,2021/04/05,2021/04/06,2021/04/07,2021/04/08,2021/04/09,2021/04/10,2021/04/11,2021/04/12,2021/04/13,2021/04/14,2021/04/15,2021/04/16,2021/04/17,2021/04/18,2021/04/19,2021/04/20,2021/04/21,2021/04/22,2021/04/23,2021/04/24,2021/04/25,2021/04/26,2021/04/27,2021/04/28,2021/04/29,2021/04/30,2021/05/01,2021/05/02,2021/05/03,2021/05/04,2021/05/05,2021/05/06,2021/05/11,,
Time Started,,,,,,,,3:25 PM,18:30,3:20 PM,6:30 PM,6:55 PM,4:55 PM,4:25 PM,7:00 PM,,6:10 PM,,20:30,3:40 PM,4:00 PM,6:00 PM,7:00 PM,8:35 PM,4:50 PM,3:15 PM,14:15,2:50 PM,4:50 PM,4:50 PM,5:10 PM,2:50 PM,3:30 PM,3:50 PM,5:40 PM,5:50 PM,6:00 PM,5:40 PM,5:20 PM,4:10 PM,5:15 PM,5:10 PM,5:25 PM,6:15 PM,4:35 PM,5:50 PM,5:00 PM,5:15 PM,16:40,5:45 PM,6:45 PM,5:35 PM,6:00 PM,4:10 PM,4:30 PM,6:00 PM,6:15 PM,6:00 PM,5:45 PM,5:25 PM,6:15 PM,4:00 PM,4:45 PM,5:00 PM,4:45 PM,6:30 PM,6:20 PM,3:55 PM,4:50 PM,4:25 PM,4:00 PM,4:45 PM,5:45 PM,6:00 PM,6:15 PM,4:40 PM,4:10 PM,5:00 PM,6:20 PM,6:00 PM,1:40 PM,,,,,,
Time Ended,,,,,,,,3:34 PM,6:35 PM,3:25 PM,6:50 PM,7:40 PM,5:20 PM,4:55 PM,7:20 PM,,6:55 PM,,9:05 PM,4:25 PM,4:45 PM,6:55 PM,7:35 PM,9:15 PM,5:30 PM,4:00 PM,2:50 PM,3:30 PM,5:40 PM,5:45 PM,6:05 PM,3:55 PM,4:35 PM,4:45 PM,6:25 PM,6:55 PM,7:05 PM,6:40 PM,6:30 PM,5:10 PM,6:25 PM,6:05 PM,6:25 PM,7:05 PM,5:25 PM,6:40 PM,6:00 PM,6:20 PM,5:30 PM,6:50 PM,7:50 PM,6:30 PM,6:55 PM,5:05 PM,5:35 PM,6:50 PM,7:10 PM,6:53 PM,6:40 PM,6:30 PM,19:15,4:50 PM,,6:00 PM,5:50 PM,7:35 PM,7:20 PM,4:35 PM,6:00 PM,5:10 PM,5:00 PM,7:45 PM,6:36 PM,19:05,7:05 PM,5:35 PM,5:15 PM,5:55 PM,7:20 PM,7:00 PM,2:40 PM,,,,,,
Start contingency,,,,,,,,0/100,100/0,0/100,90/10,10/90,10/90,90/10,10/90,,90/10,,10/90,90/10,10/90,10/90,90/10,90/10,90/10,10/90,10/90,90/10,10/90,90/10,90/10,10/90,90/10,10/90,10/90,90/10,90/10,10/90,90/10,10/90,90/10,90/10,10/90,10/90,90/10,90/10,10/90,90/10,90/10,90/10,10/90,90/10,10/90,50/10,10/90,90/10,10/90,90/10,10/90,90/10,10/90,90/10,90/10,90/10,10/90,10/90,90/10,10/90,90/10,90/10,90/10,90/10,10/90,90/10,90/10,90/10,10/90,90/10,90/10,90/10,10/90,,,,,,
Num. of reward L/R ,,,,,,,,121/122,126/120,147/160,51/41,64/90,76/99,67/61,26/51,,78/77,,46/54,72/61,50/70,81/103,71/33,47/38,,69/91,37/110,88/67,92/145,90/107,81/105,118/109,131/163,70/98,89/85,63/124,143/125,,134/87,89/130,141/135,148/94,104/103,64/105,43/158,88/177,72/199,104/132,122/110,131/125,93/175,130/106,90/152,239/97,86/145,147/95,122/140,214/54,81/151,155/118,135/113,55/112,123/146,172/106,193/113,104/198,89/114,48/182,104/153,,53/166,78/117,35/220,69/107,59/159,82/138,94/164,103/104,132/95,116/64,67/104,,,,,,
No. of trials,,,,,,,,241,245,308,152,233,274,229,119,,241,,170,248,217,347,195,165,,279,246,268,362,394,365,435,450,299,244,373,417,,400,363,439,391,350,311,369,380,421,402,387,404,466,384,406,356,347,358,379,382,389,411,427,324,370,389,454,433,350,331,365,,373,361,374,395,363,384,410,352,359,344,285,,,,,,
No. nolick max,,,,,,,,,,,,,,3,3,,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,
Autopause,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
No-lick window,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
