subject_id,procedure_number,procedure_type,procedure_name,start_date,end_date,experimenters,protocol_id,notes,reagent_1.name,reagent_1.source.name,reagent_1.lot_number,reagent_2.name,reagent_2.source.name,reagent_2.lot_number,reagent_3.name,reagent_3.source.name,reagent_3.lot_number
692912,1,Fixation,SHIELD OFF,2023-10-03,2023-10-06,Holly Myers,,4c shield on 10/6/23 - 10/8/23,SHIELD Buffer,LifeCanvas,bu12,SHIELD Epoxy,LifeCanvas,ex40,,,
692912,2,Fixation,SHIELD ON,2023-10-06,2023-10-09,Holly Myers,,4c shield on 10/6/23 - 10/8/23,SHIELD On,LifeCanvas,on18,,,,,,
692912,3,Delipidation,Passive Delipidation,2023-10-10,2023-10-11,Holly Myers,,,Delipidation Buffer,Other,db8,,,,,,
692912,4,Delipidation,Active Delipidation,2023-10-11,2023-10-13,Holly Myers,,,Conductivity Buffer,Other,c10,,,,,,
692912,5,Refractive index matching,EasyIndex,2023-10-13,2023-10-18,Holly Myers,dx.doi.org/10.17504/protocols.io.kxygx965kg8j/v1,RT 50% easy index 10/13/23 - 10/16/23,Easy Index,LifeCanvas,EI41,,,,,,
716946,1,Fixation,SHIELD OFF,2024-04-19,2024-04-22,Holly Myers,,4/23/24 - 4/25/24 in 1xpbs in 4c,SHIELD Buffer,LifeCanvas,bu19,SHIELD Epoxy,LifeCanvas,ex35,,,
716946,2,Fixation,SHIELD ON,2024-04-22,2024-04-23,Holly Myers,,4/23/24 - 4/25/24 in 1xpbs in 4c,SHIELD On,LifeCanvas,on24,,,,,,
716946,3,Delipidation,Passive Delipidation,2024-04-25,2024-04-24,Holly Myers,,,Delipidation Buffer,Other,d19,,,,,,
716946,4,Delipidation,Active Delipidation,2025-04-26,2024-04-26,Holly Myers,,,Conductivity Buffer,Other,d19,,,,,,
716946,5,Refractive index matching,EasyIndex,2024-04-29,2024-05-02,Holly Myers,dx.doi.org/10.17504/protocols.io.kxygx965kg8j/v1,,Easy Index,LifeCanvas,EI53,,,,,,
716947,1,Fixation,SHIELD OFF,2024-04-19,2024-04-22,Holly Myers,,4/23/24 - 4/25/24 in 1xpbs in 4c,SHIELD Buffer,LifeCanvas,bu19,SHIELD Epoxy,LifeCanvas,ex35,,,
716947,2,Fixation,SHIELD ON,2024-04-22,2024-04-23,Holly Myers,,4/23/24 - 4/25/24 in 1xpbs in 4c,SHIELD On,LifeCanvas,on24,,,,,,
